,Date ,Open ,High ,Low ,Close ,SMA
180,18-Nov-24,23605.3,23606.8,23350.4,23453.8,24209.05
181,19-Nov-24,23529.55,23780.65,23464.8,23518.5,24145.45238095238
182,21-Nov-24,23488.45,23507.3,23263.15,23349.9,24077.3
183,22-Nov-24,23411.8,23956.1,23359.0,23907.25,24050.402380952382
184,25-Nov-24,24253.55,24351.55,24135.45,24221.9,24040.230952380953
185,26-Nov-24,24343.3,24343.3,24125.4,24194.5,24030.473809523806
186,27-Nov-24,24204.8,24354.55,24145.65,24274.9,24034.954761904763
187,28-Nov-24,24274.15,24345.75,23873.35,23914.15,24014.716666666667
188,29-Nov-24,23927.15,24188.45,23927.15,24131.1,23998.72857142857
189,02-Dec-24,24140.85,24301.7,24008.65,24276.05,23995.64285714286
190,03-Dec-24,24367.5,24481.35,24280.0,24457.15,24007.63333333333
191,04-Dec-24,24488.75,24573.2,24366.3,24467.45,24015.4
192,05-Dec-24,24539.15,24857.75,24295.55,24708.4,24049.354761904764
193,06-Dec-24,24729.45,24751.05,24620.5,24677.8,24071.473809523806
194,09-Dec-24,24633.9,24705.0,24580.05,24619.0,24077.899999999998
195,10-Dec-24,24652.65,24677.8,24510.65,24610.05,24097.457142857143
196,11-Dec-24,24620.5,24691.75,24583.85,24641.8,24120.961904761905
197,12-Dec-24,24604.45,24675.25,24527.95,24548.7,24140.361904761907
198,13-Dec-24,24498.35,24792.3,24180.8,24768.3,24182.49761904762
199,16-Dec-24,24753.4,24781.25,24601.75,24668.25,24235.31666666667
200,17-Dec-24,24584.8,24624.1,24303.45,24336.0,24273.569047619047
201,18-Dec-24,24297.95,24394.45,24149.85,24198.85,24309.04761904762
202,19-Dec-24,23877.15,24004.9,23870.3,23951.7,24329.67619047619
203,20-Dec-24,23960.7,24065.8,23537.35,23587.5,24340.990476190476
204,23-Dec-24,23738.2,23869.55,23647.2,23753.45,24333.666666666668
205,24-Dec-24,23769.1,23867.65,23685.15,23727.65,24310.130952380954
206,26-Dec-24,23775.8,23854.5,23653.6,23750.2,24288.97380952381
207,27-Dec-24,23801.4,23938.85,23800.6,23813.4,24266.99761904762
208,30-Dec-24,23796.9,23915.35,23599.3,23644.9,24254.176190476188
209,31-Dec-24,23560.6,23689.85,23460.45,23644.8,24231.019047619047
210,01-Jan-25,23637.65,23822.8,23562.8,23742.9,24205.630952380954
211,02-Jan-25,23783.0,24226.7,23751.55,24188.65,24192.845238095237
212,03-Jan-25,24196.4,24196.45,23976.0,24004.75,24170.811904761904
213,06-Jan-25,24045.8,24089.95,23551.9,23616.05,24118.795238095237
214,07-Jan-25,23679.9,23795.2,23637.8,23707.9,24072.609523809526
215,08-Jan-25,23746.65,23751.85,23496.15,23688.95,24028.32142857143
216,09-Jan-25,23674.75,23689.5,23503.05,23526.5,23976.72380952381
217,10-Jan-25,23551.9,23596.6,23344.35,23431.5,23919.09047619048
218,13-Jan-25,23195.4,23340.95,23047.25,23085.95,23849.43571428571
219,14-Jan-25,23165.9,23264.95,23134.15,23176.05,23773.614285714288
220,15-Jan-25,23250.45,23293.65,23146.45,23213.2,23704.32619047619
221,16-Jan-25,23377.25,23391.65,23272.05,23311.8,23655.554761904765
222,17-Jan-25,23277.1,23292.1,23100.35,23203.2,23608.14285714286
223,20-Jan-25,23290.4,23391.1,23170.65,23344.75,23579.240476190476
224,21-Jan-25,23421.65,23426.3,22976.85,23024.65,23552.438095238096
225,22-Jan-25,23099.15,23169.55,22981.3,23155.35,23523.957142857143
226,23-Jan-25,23128.3,23270.8,23090.65,23205.35,23499.085714285717
227,24-Jan-25,23183.9,23347.3,23050.0,23092.2,23467.752380952385
228,27-Jan-25,22940.15,23007.45,22786.9,22829.15,23420.88333333333
229,28-Jan-25,22960.45,23137.95,22857.65,22957.25,23388.138095238097
230,29-Jan-25,23026.75,23183.35,22976.5,23163.1,23365.2
231,30-Jan-25,23169.5,23322.05,23139.2,23249.5,23341.704761904763
232,31-Jan-25,23296.75,23546.8,23277.4,23508.4,23309.311904761904
233,01-Feb-25,23528.6,23632.45,23318.3,23482.15,23284.42619047619
234,03-Feb-25,23319.35,23381.6,23222.0,23361.05,23272.283333333333
235,04-Feb-25,23509.9,23762.75,23423.15,23739.25,23273.77619047619
236,05-Feb-25,23801.75,23807.3,23680.45,23696.3,23274.12619047619
237,06-Feb-25,23761.95,23773.55,23556.25,23603.35,23277.785714285714
238,07-Feb-25,23649.5,23694.5,23443.2,23559.95,23283.90238095238
239,10-Feb-25,23543.8,23568.6,23316.3,23381.6,23297.980952380953
240,11-Feb-25,23383.55,23390.05,22986.65,23071.8,23293.016666666666
241,12-Feb-25,23050.8,23144.7,22798.35,23045.25,23285.019047619047
242,13-Feb-25,23055.75,23235.5,22992.2,23031.4,23271.666666666668
243,14-Feb-25,23096.45,23133.7,22774.85,22929.25,23258.62142857143
244,17-Feb-25,22809.9,22974.2,22725.45,22959.5,23240.276190476194
245,18-Feb-25,22963.65,22992.5,22801.5,22945.3,23236.49761904762
246,19-Feb-25,22847.25,23049.95,22814.85,22932.9,23225.904761904763
247,20-Feb-25,22821.1,22923.85,22812.75,22913.15,23211.990476190476
248,21-Feb-25,22857.2,22921.0,22720.3,22795.9,23197.880952380954
249,24-Feb-25,22609.35,22668.05,22518.8,22553.35,23184.74761904762
